Time,40K plat,4K cyl,40K shield,ivc
1724385601.0628412,298.2952,299.8343,299.2515,299.6281
1724385602.9245787,298.2945,299.8359,299.2516,299.6286
1724385604.7861755,298.2936,299.8361,299.2508,299.6281
1724385606.6374972,298.2934,299.8347,299.2518,299.6275
1724385608.4984016,298.2927,299.835,299.2512,299.6275
1724385610.361974,298.2954,299.8373,299.2514,299.6279
1724385612.2121904,298.2936,299.8381,299.2516,299.6275
1724385614.0646305,298.2948,299.8368,299.2521,299.6281
1724385615.927862,298.2926,299.8353,299.2517,299.6274
1724385617.7928188,298.2946,299.8371,299.2516,299.6277
1724385619.636092,298.2949,299.8361,299.2522,299.6279
1724385621.5072882,298.2954,299.8364,299.2516,299.6281
1724385623.3685913,298.2928,299.8341,299.2524,299.6283
1724385625.2241364,298.2945,299.8355,299.2519,299.6278
1724385627.0884004,298.2944,299.8363,299.2517,299.6277
1724385628.9535503,298.2938,299.8361,299.2513,299.6277
1724385630.8015509,298.293,299.8365,299.2519,299.628
1724385632.6639538,298.2931,299.8356,299.251,299.6283
1724385634.5141847,298.2951,299.837,299.2512,299.6276
1724385636.3730607,298.2951,299.8363,299.2519,299.6275
1724385638.2291658,298.2951,299.8352,299.2517,299.6278
1724385640.0823834,298.2939,299.8358,299.2512,299.6273
1724385641.9403086,298.2949,299.8363,299.2515,299.6283
1724385643.8052456,298.2948,299.837,299.2519,299.6284
1724385645.659254,298.2949,299.8362,299.2515,299.6279
1724385647.5198622,298.2937,299.8365,299.2515,299.6278
1724385649.375831,298.2946,299.8362,299.2503,299.6281
1724385651.2466617,298.2949,299.8366,299.2514,299.6278
1724385653.1022263,298.2948,299.8369,299.2525,299.6274
1724385654.9587054,298.2944,299.8343,299.2519,299.628
1724385656.825376,298.2962,299.8363,299.2518,299.6276
1724385658.67183,298.2955,299.8357,299.2522,299.6283
1724385660.5332596,298.2929,299.8362,299.2515,299.6274
1724385662.3921857,298.2959,299.8376,299.252,299.6275
1724385664.2428079,298.295,299.8353,299.2518,299.6275
1724385666.0997312,298.2953,299.837,299.2519,299.6278
1724385667.9585083,298.2939,299.836,299.252,299.6278
1724385669.8144946,298.2944,299.8367,299.2519,299.6275
1724385671.6713152,298.2951,299.8355,299.2519,299.6283
1724385673.5410893,298.2938,299.8369,299.252,299.6283
1724385675.4047456,298.2956,299.8366,299.2513,299.627
1724385677.264221,298.2938,299.8368,299.2518,299.6277
1724385679.1268375,298.2947,299.8369,299.2513,299.6285
1724385680.9818132,298.2941,299.8353,299.252,299.6279
1724385682.841052,298.2956,299.8362,299.2518,299.6281
1724385684.6927445,298.2953,299.8366,299.2518,299.6277
1724385686.543275,298.2952,299.8364,299.2522,299.6282
1724385688.3791435,298.2953,299.8362,299.2518,299.6286
1724385690.2319968,298.2958,299.8367,299.2517,299.628
1724385692.092737,298.2951,299.8355,299.2518,299.6286
1724385693.9538157,298.295,299.8361,299.251,299.6279
1724385695.812453,298.296,299.8363,299.2518,299.6287
1724385697.6769364,298.2937,299.8358,299.2519,299.6286
1724385699.5301268,298.2946,299.8352,299.2518,299.6281
1724385701.3942199,298.2952,299.8363,299.2517,299.6282
1724385703.2592974,298.2957,299.8372,299.2521,299.6283
1724385705.1158679,298.2943,299.836,299.2522,299.6281
1724385706.9784214,298.2921,299.8368,299.252,299.6277
1724385708.8377416,298.2937,299.8365,299.2514,299.6281
1724385710.6968243,298.2944,299.8352,299.2521,299.6284
1724385712.5668466,298.2939,299.8379,299.252,299.6278
1724385714.4268458,298.2937,299.8368,299.2515,299.6273
1724385716.2870967,298.2941,299.8367,299.2515,299.6291
1724385718.1470318,298.2933,299.8354,299.2523,299.6287
1724385720.0110636,298.2938,299.8367,299.2514,299.6287
1724385721.8743165,298.2957,299.8377,299.2521,299.6283
1724385723.7330792,298.294,299.8352,299.2521,299.6285
1724385725.5756261,298.2954,299.8343,299.2528,299.6283
1724385727.4392052,298.2955,299.835,299.2526,299.6281
1724385729.2808485,298.2949,299.8358,299.2519,299.6286
1724385731.1280003,298.2941,299.8356,299.252,299.6282
1724385732.9812317,298.2953,299.8344,299.2522,299.6287
1724385734.834633,298.2958,299.836,299.2522,299.6281
1724385736.6905756,298.2956,299.8368,299.2523,299.6288
1724385738.5475338,298.2961,299.8366,299.252,299.6282
1724385740.3920867,298.2963,299.8355,299.2521,299.6285
1724385742.2460277,298.2943,299.8347,299.2521,299.6284
1724385744.101787,298.2955,299.8347,299.2518,299.6285
1724385745.949516,298.2959,299.8366,299.252,299.6289
1724385747.8105655,298.2946,299.8363,299.2521,299.6282
1724385749.6632736,298.2963,299.8379,299.2521,299.6286
1724385751.533322,298.2952,299.8353,299.2521,299.6279
1724385753.3912213,298.296,299.8368,299.2518,299.629
1724385755.253983,298.2943,299.8359,299.2514,299.6284
1724385757.100352,298.2961,299.8355,299.2521,299.6284
1724385758.9619622,298.2947,299.8372,299.2525,299.6284
1724385760.8258471,298.296,299.8359,299.2529,299.6289
1724385762.6948516,298.2955,299.8367,299.2523,299.6289
1724385764.55653,298.2954,299.8346,299.2521,299.6291
1724385766.4174614,298.2955,299.835,299.2522,299.6286
1724385768.2799826,298.2965,299.8374,299.252,299.6285
1724385770.1274607,298.2962,299.8366,299.2522,299.6287
1724385771.9959881,298.294,299.8363,299.2522,299.6284
1724385773.863772,298.296,299.8378,299.2519,299.6281
1724385775.7261162,298.2957,299.837,299.2524,299.6286
1724385777.5876412,298.2948,299.8361,299.2525,299.6286
1724385779.4476187,298.2944,299.837,299.2525,299.6289
1724385781.3113215,298.2939,299.8361,299.2527,299.6292
1724385783.1622617,298.2945,299.8361,299.2526,299.6281
1724385785.0236187,298.2957,299.8373,299.252,299.6288
1724385786.8900468,298.2954,299.8368,299.2523,299.6287
1724385788.7550468,298.2958,299.837,299.2525,299.6286
1724385790.621968,298.2945,299.8367,299.2526,299.629
1724385792.4739614,298.2946,299.8356,299.2523,299.6288
1724385794.3356485,298.2964,299.8373,299.2524,299.6287
1724385796.1988654,298.2966,299.8365,299.2519,299.6294
1724385798.0470371,298.2961,299.836,299.252,299.6295
1724385799.9128497,298.2959,299.8374,299.2518,299.6284
1724385801.776512,298.2964,299.8367,299.252,299.6289
1724385803.6460114,298.2951,299.8361,299.2525,299.6289
1724385805.5117447,298.2955,299.8371,299.2524,299.6286
1724385807.3727334,298.2961,299.837,299.2526,299.6282
1724385809.234747,298.2953,299.8375,299.2513,299.6295
1724385811.0869532,298.2962,299.8363,299.2525,299.6293
1724385812.9440398,298.2962,299.8375,299.2529,299.6287
1724385814.8033955,298.2946,299.8373,299.2526,299.6293
1724385816.663797,298.2963,299.8363,299.2521,299.6285
1724385818.5316226,298.2942,299.8356,299.2525,299.629
1724385820.3967006,298.2978,299.8387,299.2524,299.6292
1724385822.2424595,298.2954,299.8367,299.2524,299.6291
1724385824.1074665,298.2967,299.8365,299.2525,299.629
1724385825.9609706,298.2952,299.8366,299.2524,299.6292
1724385827.822274,298.2958,299.8352,299.2522,299.6292
1724385829.6844594,298.2965,299.8368,299.2521,299.6286
1724385831.549973,298.2959,299.8361,299.2523,299.6293
1724385833.4136562,298.2962,299.8361,299.2513,299.6292
1724385835.281518,298.2952,299.8366,299.2523,299.6291
1724385837.1522272,298.2967,299.8365,299.2525,299.6291
1724385839.002641,298.2944,299.8368,299.2524,299.6292
1724385840.8528082,298.2953,299.838,299.2522,299.6295
1724385842.71542,298.2963,299.837,299.2526,299.6286
1724385844.5817246,298.2953,299.8372,299.2522,299.6293
1724385846.4424088,298.2959,299.837,299.2523,299.6286
1724385848.3101873,298.2952,299.837,299.2529,299.6295
1724385850.1633139,298.2955,299.8366,299.2528,299.6296
1724385852.019336,298.2955,299.8368,299.2518,299.6286
1724385853.8771458,298.2955,299.8363,299.2528,299.6289
1724385855.7321973,298.296,299.8372,299.2524,299.6288
1724385857.5840473,298.295,299.8374,299.252,299.6293
1724385859.446955,298.2949,299.837,299.2531,299.6299
1724385861.3094153,298.2945,299.8365,299.2526,299.6291
1724385863.1689706,298.2968,299.837,299.2524,299.6285
1724385865.0183806,298.2962,299.8348,299.2525,299.629
1724385866.8852582,298.2954,299.8376,299.2521,299.6295
1724385868.7444708,298.2959,299.837,299.2527,299.6297
1724385870.6154718,298.2966,299.8371,299.2524,299.6296
1724385872.4692068,298.2964,299.8362,299.2525,299.6291
1724385874.3343725,298.2962,299.8354,299.2528,299.6296
1724385876.199002,298.2963,299.8377,299.2522,299.6293
1724385878.0585582,298.2951,299.8354,299.2525,299.6291
1724385879.9253955,298.2971,299.8373,299.2531,299.6296
1724385881.7874625,298.295,299.8354,299.2528,299.629
1724385883.651637,298.2965,299.8374,299.2525,299.6296
1724385885.4998841,298.2955,299.8376,299.2524,299.6299
1724385887.3529954,298.2948,299.8349,299.2524,299.6297
1724385889.204318,298.2974,299.8371,299.2527,299.6299
1724385891.0579176,298.2962,299.8371,299.2521,299.6295
1724385892.9125125,298.2958,299.8372,299.2529,299.6296
1724385894.76309,298.2962,299.8376,299.2526,299.6289
1724385896.6258585,298.2965,299.8375,299.2529,299.6293
1724385898.484315,298.2966,299.8367,299.2529,299.6297
1724385900.3500755,298.2958,299.8368,299.2523,299.6294
1724385902.1983962,298.2949,299.8366,299.2527,299.6289
1724385904.0546322,298.2952,299.8362,299.253,299.6294
1724385905.917032,298.296,299.8375,299.2524,299.6297
1724385907.7824492,298.2958,299.8384,299.2527,299.6303
1724385909.6434896,298.2969,299.8373,299.2532,299.629
1724385911.5034807,298.2953,299.8373,299.2531,299.6293
1724385913.366737,298.2954,299.8374,299.2525,299.6291
1724385915.2161725,298.2952,299.8368,299.2522,299.6293
1724385917.080398,298.2962,299.8363,299.2523,299.6292
1724385918.9385257,298.2952,299.8357,299.2527,299.6292
1724385920.798765,298.2962,299.8382,299.2528,299.6296
1724385922.664644,298.2962,299.8378,299.2531,299.6297
